2x2|3|7|2026-06-15 20:12:18
2x2|2|4|2026-06-15 20:19:02
2x2|4|7|2026-06-15 23:51:19
2x2|2|7|2026-06-15 23:51:42
2x2|2|4|2026-06-16 00:11:27
2x2|3|10|2026-06-16 00:41:50
2x2|3|4|2026-06-16 01:05:50
2x2|2|3|2026-06-16 01:14:24
2x2|3|5|2026-06-16 01:15:56
4x4|18|32|2026-06-16 01:18:50
2x2|3|4|2026-06-16 01:25:48
2x2|2|3|2026-06-16 01:33:17
2x2|3|4|2026-06-16 01:40:16
2x2|2|2|2026-06-16 01:49:27
2x2|3|5|2026-06-16 02:11:49
2x2|3|5|2026-06-16 02:14:21
2x2|2|3|2026-06-16 02:19:41
2x2|4|7|2026-06-16 02:28:53
2x2|2|3|2026-06-16 02:59:47
2x2|2|4|2026-06-16 03:07:17
2x2|2|3|2026-06-16 04:03:54
2x2|2|3|2026-06-16 13:49:39
8x8|98|262|2026-06-16 14:03:38
6x6|60|144|2026-06-16 14:06:13
2x2|3|5|2026-06-16 14:09:07
2x2|3|5|2026-06-16 14:15:40
2x2|4|8|2026-06-16 14:30:47
2x2|3|5|2026-06-16 14:33:32
2x2|3|6|2026-06-16 14:36:10
2x2|2|2|2026-06-16 14:52:02
2x2|3|6|2026-06-16 14:58:56
2x2|3|6|2026-06-16 15:03:08
2x2|3|7|2026-06-16 16:51:13
2x2|2|3|2026-06-16 16:51:31
2x2|2|3|2026-06-16 16:54:57
2x2|2|11|2026-06-16 17:23:43
2x2|3|11|2026-06-16 17:26:17
2x2|2|7|2026-06-16 17:32:17
2x2|2|3|2026-06-16 17:52:57
4x4|18|39|2026-06-16 18:08:25
4x4|16|39|2026-06-16 20:24:12
6x6|40|145|2026-06-16 20:43:18
6x6|49|121|2026-06-16 20:46:11
2x2|3|6|2026-06-16 22:33:25
4x4|17|37|2026-06-17 00:14:05
2x2|3|5|2026-06-17 00:19:10
